character,count,selected_count,train_count,test_count,val_count,id
Aether,322,282,226,28,28,1185
Assassin (Koha-Ace),373,281,225,28,28,1186
Anarchy Panty,357,281,225,28,28,1187
YoRHa Type A No.2,330,281,225,28,28,1188
Cure Chocolat,329,281,225,28,28,1189
Astesia,317,281,225,28,28,1190
Magallan,315,281,225,28,28,1191
Yukine Chris,310,281,225,28,28,1192
Alisa Ilinichina Amiella,308,281,225,28,28,1193
Dizzy (GUILTY GEAR),422,280,224,28,28,1194
Ren Kougyoku,321,280,224,28,28,1195
Nakiri Erina,321,280,224,28,28,1196
Cure La Mer,314,280,224,28,28,1197
Cure Idol,313,280,224,28,28,1198
Amano Hina (Tenki no Ko),299,280,224,28,28,1199
Endou Mamoru,426,279,223,28,28,1200
Suiseiseki,339,279,223,28,28,1201
Anjou Naruko,331,279,223,28,28,1202
Rory Mercury,312,279,223,28,28,1203
Reines El-Melloi Archisorte,307,279,223,28,28,1204
Astra Yao,328,278,222,28,28,1205
Fey Rune,396,277,222,28,27,1206
Silence (Arknights),321,277,222,28,27,1207
Black Lady,314,277,222,28,27,1208
Blake Belladonna,312,277,222,28,27,1209
Choukai (Kantai Collection),300,277,222,28,27,1210
Vikala (Granblue Fantasy),292,277,222,28,27,1211
Caster (Asclepius),430,276,221,28,27,1212
Sanada Yukimura (Sengoku Basara),373,276,221,28,27,1213
Norway,367,276,221,28,27,1214
Kirishima Touka,340,276,221,28,27,1215
Cure Lovely,321,276,221,28,27,1216
Hasegawa Kobato,310,276,221,28,27,1217
Tsukiyuki Miyako,294,276,221,28,27,1218
Moonlight Cookie,407,275,220,28,27,1219
Soraka,352,275,220,28,27,1220
Akatsuki UNI,295,275,220,28,27,1221
Fudou Akio,440,274,219,27,28,1222
Dido,335,274,219,27,28,1223
Princess of the Crystal,328,274,219,27,28,1224
Cure Mermaid,320,274,219,27,28,1225
Lingsha,316,274,219,27,28,1226
Archer (Fate/EXTRA),314,274,219,27,28,1227
Rosa (Arknights),301,274,219,27,28,1228
Cure Selene,291,274,219,27,28,1229
Yumehara Nozomi,327,273,218,27,28,1230
Yang Xiao Long,307,273,218,27,28,1231
Nyarlko,306,272,218,27,27,1232
Noumi Kudryavka,304,272,218,27,27,1233
Kageyama Tobio,375,271,217,27,27,1234
Ariel,328,271,217,27,27,1235
Kuroyukihime,311,271,217,27,27,1236
Kasodani Kyouko,295,271,217,27,27,1237
Ferry (Granblue Fantasy),292,271,217,27,27,1238
Yui Tsuruno,289,271,217,27,27,1239
Kuwayama Chiyuki,287,271,217,27,27,1240
Kiryuuin Satsuki,310,270,216,27,27,1241
Qingyi,299,270,216,27,27,1242
Cure Finale,295,270,216,27,27,1243
Cure Lillian,291,270,216,27,27,1244
Yin,333,269,215,27,27,1245
Gray (Lord El-Melloi II Case Files),325,269,215,27,27,1246
Saber (Saitou Hajime),318,269,215,27,27,1247
Miyako Yoshika,313,269,215,27,27,1248
Kino Makoto,331,268,214,27,27,1249
Hotarumaru,311,268,214,27,27,1250
Sora Ginko,297,268,214,27,27,1251
Misaki Mei,370,267,214,27,26,1252
Cure Passion,327,267,214,27,26,1253
Tsukikage Yuri,317,267,214,27,26,1254
Yozakura Tama,314,267,214,27,26,1255
Aijima Cecil,307,267,214,27,26,1256
Cure Butterfly,292,267,214,27,26,1257
Taigei (Kantai Collection),279,267,214,27,26,1258
Aglaea,307,266,213,27,26,1259
I-19 (Kantai Collection),281,266,213,27,26,1260
Kamikaze (Kantai Collection),281,265,212,26,27,1261
Ootsuki Yui,278,265,212,26,27,1262
Abarai Renji,403,264,211,26,27,1263
Foreigner (Van Gogh),339,264,211,26,27,1264
Moriyama Shiemi,338,264,211,26,27,1265
Hanekawa Tsubasa,313,264,211,26,27,1266
Houjou Satoko,313,264,211,26,27,1267
Iino Miko,278,264,211,26,27,1268
Akizuki (Kantai Collection),276,263,210,26,27,1269
Uzumaki Kushina,332,262,210,26,26,1270
Yuna,331,262,210,26,26,1271
Cure Macaron,297,262,210,26,26,1272
Fuji Aoi,283,262,210,26,26,1273
Fluttershy,340,261,209,26,26,1274
Cure Gelato,301,261,209,26,26,1275
Sandalphon,350,260,208,26,26,1276
YoRHa No.9 Type S,342,260,208,26,26,1277
Satonaka Chie,309,260,208,26,26,1278
Sailor Pluto,308,260,208,26,26,1279
Kisaragi Momo,306,260,208,26,26,1280
Katarina,299,260,208,26,26,1281
LLEN (Sword Art Online),293,260,208,26,26,1282
Cure Wink,280,260,208,26,26,1283
Hikawa Hina,279,260,208,26,26,1284
SilverAsh,334,259,207,26,26,1285
Zima (Arknights),300,259,207,26,26,1286
Yousei-kishi Gawain,287,259,207,26,26,1287
Fujita Kotone,277,259,207,26,26,1288
Shiroko Terror,270,259,207,26,26,1289
Kazama Chikage,327,258,206,26,26,1290
Riddle Rosehearts,317,258,206,26,26,1291
Cure Scarlet,312,258,206,26,26,1292
Sonozaki Shion,305,258,206,26,26,1293
Miss Fortune,304,258,206,26,26,1294
Chongyun,293,258,206,26,26,1295
Chloe von Einzbern,286,258,206,26,26,1296
Fu Xuan,285,258,206,26,26,1297
Cure Wonderful,282,258,206,26,26,1298
Roboco,282,258,206,26,26,1299
Gummy (Arknights),280,258,206,26,26,1300
Kiryuu Kikyou,277,258,206,26,26,1301
Suomi (Girls Frontline),271,258,206,26,26,1302
Higashikata Jousuke,362,257,206,26,25,1303
Momoe Nagisa,298,257,206,26,25,1304
Otonashi Kotori,286,257,206,26,25,1305
Type 95 (Girls Frontline),265,257,206,26,25,1306
Tsurugi Kyousuke,351,256,205,26,25,1307
Nefertari Vivi,316,256,205,26,25,1308
Sesshouin Kiara,307,256,205,26,25,1309
Stheno (Fate/hollow ataraxia),268,256,205,26,25,1310
Madotsuki,393,255,204,26,25,1311
Chibiusa,335,255,204,26,25,1312
Kino (Kino no Tabi),334,255,204,26,25,1313
Shalltear Bloodfallen,301,255,204,26,25,1314
Serval (Kemono Friends),293,255,204,26,25,1315
The Shorekeeper,283,255,204,26,25,1316
Hashibira Inosuke,399,254,203,25,26,1317
Heshikiri Hasebe,331,254,203,25,26,1318
Cure Rhythm,311,254,203,25,26,1319
Kotomine Shirou (Fate/Apocrypha),302,254,203,25,26,1320
Lancer Alter,291,254,203,25,26,1321
Hinatsuru Ai,284,254,203,25,26,1322
Anzai Chiyomi,282,254,203,25,26,1323
Suzutsuki (Kantai Collection),264,254,203,25,26,1324
Fujimaru Ritsuka,365,253,202,25,26,1325
Yukimura Seiichi,318,253,202,25,26,1326
Red (Arknights),308,253,202,25,26,1327
Clear (DMMd),339,252,202,25,25,1328
Shirayuki Hime,295,252,202,25,25,1329
Hino Rei,304,251,201,25,25,1330
Momoi Satsuki,293,251,201,25,25,1331
Zhu Yuan,293,251,201,25,25,1332
Palutena,291,251,201,25,25,1333
Shimada Alice,281,251,201,25,25,1334
Kakyoin Chieri,274,251,201,25,25,1335
Tokitsukaze (Kantai Collection),264,251,201,25,25,1336
Cure Yum-Yum,338,250,200,25,25,1337
Kusanagi Motoko,321,250,200,25,25,1338
Warfarin,298,250,200,25,25,1339
Uchiha Sarada,296,250,200,25,25,1340
Platelet,287,250,200,25,25,1341
Hoto Kokoa,279,250,200,25,25,1342
Ajitani Hifumi,271,250,200,25,25,1343
Ange Katrina,269,250,200,25,25,1344
UMP9 (Girls Frontline),257,250,200,25,25,1345
Rider (Mandricardo),385,249,199,25,25,1346
Katsuki Yuuri,323,249,199,25,25,1347
Inaba Haneru,277,249,199,25,25,1348
Ichigo (Darling in the FranXX),269,249,199,25,25,1349
Cure Ange,268,249,199,25,25,1350
Akechi Goro,405,248,198,25,25,1351
Sabo,368,248,198,25,25,1352
Cherry Blossom Cookie,332,248,198,25,25,1353
Tsukumo Yuma,310,248,198,25,25,1354
Mioda Ibuki,280,248,198,25,25,1355
Archer of Red,275,248,198,25,25,1356
Jougasaki Rika,274,248,198,25,25,1357
Laura Bodewig,274,248,198,25,25,1358
Lulu (League of Legends),313,247,198,25,24,1359
Saya (Saya no Uta),275,247,198,25,24,1360
Rider (Medb),261,247,198,25,24,1361
Berserker (Cﾃｺ Chulainn Alter),347,246,197,25,24,1362
Kamishiro Ryoga,333,246,197,25,24,1363
Caster (Cﾃｺ Chulainn),328,246,197,25,24,1364
Xingchen,287,246,197,25,24,1365
Darjeeling (GIRLS und PANZER),271,246,197,25,24,1366
Jeanne d'Arc (Granblue Fantasy),257,246,197,25,24,1367
Lag Seeing,352,245,196,24,25,1368
Cure Ace,271,245,196,24,25,1369
Izayoi Riko,271,245,196,24,25,1370
Yousei-kishi Lancelot,269,245,196,24,25,1371
Kirima Sharo,262,245,196,24,25,1372
Kozeki Ui,256,245,196,24,25,1373
Byakuran,324,244,195,24,25,1374
Cyno,310,244,195,24,25,1375
Victorique de Blois,309,244,195,24,25,1376
Harley Quinn,302,244,195,24,25,1377
Hanasaki Tsubomi,291,244,195,24,25,1378
Xayah,302,243,194,24,25,1379
Frostnova,297,243,194,24,25,1380
Aegis,282,243,194,24,25,1381
Assassin (Osakabehime),269,243,194,24,25,1382
Vash the Stampede,393,242,194,24,24,1383
Dave Strider,347,242,194,24,24,1384
Nora Cat,265,242,194,24,24,1385
Archer (Sei Shounagon),256,242,194,24,24,1386
Alcina Dimitrescu,361,241,193,24,24,1387
Changli,282,241,193,24,24,1388
Milky Rose,278,241,193,24,24,1389
Wriggle Nightbug,277,241,193,24,24,1390
Manhattan Cafﾃｩ,258,241,193,24,24,1391
Hisoka Morow,357,240,192,24,24,1392
Eldridge,266,240,192,24,24,1393
Amor (Caren),264,240,192,24,24,1394
Naganami (Kantai Collection),249,240,192,24,24,1395
Hyuuga Neji,365,239,191,24,24,1396
Hinata Shouyou,327,239,191,24,24,1397
Nekomura Iroha,320,239,191,24,24,1398
Slaine Troyard,293,239,191,24,24,1399
Yatogami Tohka,281,239,191,24,24,1400
Gorou (Genshin Impact),272,239,191,24,24,1401
Yoisaki Kanade,269,239,191,24,24,1402
Sakuma Mayu,255,239,191,24,24,1403
Dead Master,404,238,190,24,24,1404
Oumae Kumiko,266,238,190,24,24,1405
Ayano Keiko,258,238,190,24,24,1406
Shirasagi Chisato,255,238,190,24,24,1407
Iwakura Lain,377,237,190,24,23,1408
Haruno Haruka,301,237,190,24,23,1409
Zuikaku (Azur Lane),253,237,190,24,23,1410
Totoki Airi,249,237,190,24,23,1411
Sukuna,420,236,189,24,23,1412
Blade (Honkai Star Rail),299,236,189,24,23,1413
Ruler (Sherlock Holmes),288,236,189,24,23,1414
Clara (Pokﾃｩmon),284,236,189,24,23,1415
YuNi (VTuber),273,236,189,24,23,1416
Cure Mint,272,236,189,24,23,1417
Hoshino Ruri,249,236,189,24,23,1418
Yamabuki Saaya (BanG Dream!),244,236,189,24,23,1419
Sephiroth,363,235,188,24,23,1420
Ichimaru Gin,351,235,188,24,23,1421
Lenalee Lee,336,235,188,24,23,1422
Kogitsunemaru,317,235,188,24,23,1423
Matsukaze Tenma,310,235,188,24,23,1424
Mizuki Kotori,271,235,188,24,23,1425
Ninomiya Asuka,244,235,188,24,23,1426
Getou Suguru,519,234,187,23,24,1427
Austria,340,234,187,23,24,1428
Iceland,311,234,187,23,24,1429
Busujima Saeko,287,234,187,23,24,1430
Jabami Yumeko,283,234,187,23,24,1431
Furude Hanyuu,258,234,187,23,24,1432
Cure Kyun Kyun,251,234,187,23,24,1433
Alice Baskerville,313,233,186,23,24,1434
Kasugano Sora,272,233,186,23,24,1435
Miyu Edelfelt,263,233,186,23,24,1436
Hadou Nejire,260,233,186,23,24,1437
AK-12 (Girls Frontline),258,233,186,23,24,1438
Jessica (Arknights),253,233,186,23,24,1439
Ogata Chieri,253,233,186,23,24,1440
Cagliostro (Granblue Fantasy),247,233,186,23,24,1441
Yozora Mel,244,233,186,23,24,1442
Irene (Arknights),277,232,186,23,23,1443
Shermie,274,232,186,23,23,1444
Xerxes Break,344,231,185,23,23,1445
Nightingale (Arknights),286,231,185,23,23,1446
Caitlyn,267,231,185,23,23,1447
Wo-Class (Kantai Collection),419,230,184,23,23,1448
Noiz (DMMd),331,230,184,23,23,1449
Ada Wong,280,230,184,23,23,1450
Wakasagihime,262,230,184,23,23,1451
Naka (Kantai Collection),251,230,184,23,23,1452
Mononobe Alice,249,230,184,23,23,1453
UMP45 (Girls Frontline),246,230,184,23,23,1454
Roy Mustang,309,229,183,23,23,1455
Evelynn,280,229,183,23,23,1456
Noel Vermillion,260,229,183,23,23,1457
Clarisse (Granblue Fantasy),257,229,183,23,23,1458
Yui (Angel Beats!),254,229,183,23,23,1459
Sister Claire (VTuber),245,229,183,23,23,1460
Oguri Cap,243,229,183,23,23,1461
Hilda Valentine Goneril,239,229,183,23,23,1462
Joker (Persona 5),420,228,182,23,23,1463
Horikawa Kunihiro,288,228,182,23,23,1464
Kirishima Romin,254,228,182,23,23,1465
Murokasa Akane,238,228,182,23,23,1466
Ooyodo (Kantai Collection),234,228,182,23,23,1467
Hanamura Yousuke,318,227,182,23,22,1468
Ren Hakuryuu,313,227,182,23,22,1469
Springfield (Girls Frontline),250,227,182,23,22,1470
Kitakami (Kantai Collection),249,227,182,23,22,1471
Fuuro,249,227,182,23,22,1472
Europa (Granblue Fantasy),242,227,182,23,22,1473
Ashigara (Kantai Collection),240,227,182,23,22,1474
Kashino,239,227,182,23,22,1475
Toudou Heisuke (Hakuouki),293,226,181,23,22,1476
Tomoe Hotaru,290,226,181,23,22,1477
Kishin Sagume,265,226,181,23,22,1478
Hieda no Akyuu,259,226,181,23,22,1479
Sasaki Saku,230,226,181,23,22,1480
Higashi Setsuna,355,225,180,22,23,1481
Takasugi Shinsaku (Fate/Grand Order),280,225,180,22,23,1482
Lalatina Dustiness Ford,258,225,180,22,23,1483
Cure Papaya,250,225,180,22,23,1484
Sans,572,224,179,22,23,1485
ﾃ・bel,242,224,179,22,23,1486
Souryuu (Kantai Collection),240,224,179,22,23,1487
Hiei (Kantai Collection),237,224,179,22,23,1488
Sin Mal,294,223,178,22,23,1489
Uzumaki Naruto (Female),278,223,178,22,23,1490
Sarashina Ruka,262,223,178,22,23,1491
Daiyousei,247,223,178,22,23,1492
Hatsuzuki (Kantai Collection),241,223,178,22,23,1493
Twin Turbo,233,223,178,22,23,1494
Nia Teppelin,292,222,178,22,22,1495
Kenzaki Makoto,273,222,178,22,22,1496
Sakamaki Kanato,271,222,178,22,22,1497
Tanya Degurechaff,245,222,178,22,22,1498
New Jersey,243,222,178,22,22,1499
Aoba Moca,236,222,178,22,22,1500
Houjou Karen,234,222,178,22,22,1501
Saber (Tomoe Gozen),231,222,178,22,22,1502
Tina Branford,290,221,177,22,22,1503
Hazuki Nagisa,273,221,177,22,22,1504
Myrtle (Arknights),232,221,177,22,22,1505
Silver (Pokﾃｩmon SPECIAL),294,220,176,22,22,1506
Rarity,294,220,176,22,22,1507
Nono Hana,280,220,176,22,22,1508
Belgium,279,220,176,22,22,1509
Yokoyama Nao,239,220,176,22,22,1510
Futatsuiwa Mamizou,293,219,175,22,22,1511
Malleus Draconia,274,219,175,22,22,1512
Perseus,240,219,175,22,22,1513
John Egbert,307,218,174,22,22,1514
Cure Custard,295,218,174,22,22,1515
Camellya,276,218,174,22,22,1516
Razor (Genshin Impact),248,218,174,22,22,1517
Furukawa Nagisa,248,218,174,22,22,1518
Arisugawa Natsuha,234,218,174,22,22,1519
Shiina Mahiru,320,217,174,22,21,1520
Vongola Primo Giotto,306,217,174,22,21,1521
Kuroo Tetsurou,291,217,174,22,21,1522
Tia Harribel,288,217,174,22,21,1523
Sailor Uranus,263,217,174,22,21,1524
Lancer (Caenis),241,217,174,22,21,1525
Istina,240,217,174,22,21,1526
Kitakami Futaba,229,217,174,22,21,1527
Serizawa Asahi,229,217,174,22,21,1528
Hyakkimaru,352,216,173,22,21,1529
Amemura Ramuda,263,216,173,22,21,1530
Cure Felice,259,216,173,22,21,1531
Hoshikawa Lily,248,216,173,22,21,1532
Saotome Ranma (Girl),248,216,173,22,21,1533
Matsuoka Gou,237,216,173,22,21,1534
Cure Majesty,229,216,173,22,21,1535
Anis,228,216,173,22,21,1536
Lady Avalon,225,216,173,22,21,1537
Sakuragi Mano,224,216,173,22,21,1538
Fran,297,215,172,22,21,1539
Kirakishou,275,215,172,22,21,1540
Harukawa Maki,248,215,172,22,21,1541
Yagami Hayate,241,215,172,22,21,1542
Yamada Elf,231,215,172,22,21,1543
Shiomi Shuuko,227,215,172,22,21,1544
Temari (NARUTO),275,214,171,21,22,1545
Cure Berry,255,214,171,21,22,1546
Usada Hikaru,252,214,171,21,22,1547
Assassin (Nitocris),244,214,171,21,22,1548
Hiryuu (Kantai Collection),233,214,171,21,22,1549
Cure Flamingo,230,214,171,21,22,1550
Hanako-kun,304,213,170,21,22,1551
Kozume Kenma,284,213,170,21,22,1552
Oozora Akari,258,213,170,21,22,1553
Beatrice (Re:Zero),246,213,170,21,22,1554
Sawamura Spencer Eriri,239,213,170,21,22,1555
Tanaka Mamimi,231,213,170,21,22,1556
Kazano Hiori,229,213,170,21,22,1557
Caster (Marie Antoinette),224,213,170,21,22,1558
Angela Balzac,224,212,170,21,21,1559
Yaezawa Natori,222,212,170,21,21,1560
Accelerator,296,211,169,21,21,1561
Silver (Pokﾃｩmon),283,211,169,21,21,1562
Kannonzaka Doppo,270,211,169,21,21,1563
Suﾃｬ-Fﾄ・ng,267,211,169,21,21,1564
Cure Aqua,252,211,169,21,21,1565
Letty Whiterock,247,211,169,21,21,1566
Suzumura Sango,240,211,169,21,21,1567
Yanagi (Zenless Zone Zero),233,211,169,21,21,1568
Tokura Misaki,232,211,169,21,21,1569
Kazuno Sarah,228,211,169,21,21,1570
ﾃ・gir,221,211,169,21,21,1571
Gray Fullbuster,289,210,168,21,21,1572
Bruno (Yu-Gi-Oh!),288,210,168,21,21,1573
Souseiseki,250,210,168,21,21,1574
Yakushiji Saaya,249,210,168,21,21,1575
Nishizumi Miho,246,210,168,21,21,1576
Cure Rouge,238,210,168,21,21,1577
Roon (Azur Lane),231,210,168,21,21,1578
Kumano (Kantai Collection),223,210,168,21,21,1579
Sakura Bakushin O,221,210,168,21,21,1580
Cheval Grand,220,210,168,21,21,1581
Yayoi (Kantai Collection),220,210,168,21,21,1582
Z3 Max Schultz (Kantai Collection),219,210,168,21,21,1583
Tenjou Kaito,284,209,167,21,21,1584
Haizaki Ryouhei,281,209,167,21,21,1585
Shiota Nagisa,248,209,167,21,21,1586
Manaka Lala,226,209,167,21,21,1587
Jack Atlas,286,208,166,21,21,1588
Pan (DRAGON BALL),283,208,166,21,21,1589
Yamato no Kami Yasusada,279,208,166,21,21,1590
Rider of Red,268,208,166,21,21,1591
Wendy Marvell,254,208,166,21,21,1592
Xilonen,251,208,166,21,21,1593
Tsumiki Mikan,237,208,166,21,21,1594
Reed (Arknights),232,208,166,21,21,1595
Mutsuki (Kantai Collection),219,208,166,21,21,1596
Roxas,279,207,166,21,20,1597
Sekibanki,265,207,166,21,20,1598
Saber (Senji Muramasa),250,207,166,21,20,1599
Akaza Akari,228,207,166,21,20,1600
Mia Taylor,228,207,166,21,20,1601
Cure Wing,226,207,166,21,20,1602
Hazawa Tsugumi,221,207,166,21,20,1603
I-401 (Kantai Collection),218,207,166,21,20,1604
Kuromi Serika,218,207,166,21,20,1605
Charlie Morningstar,346,206,165,21,20,1606
Twilight Sparkle,289,206,165,21,20,1607
Himeno,244,206,165,21,20,1608
Akiyama Mizuki,233,206,165,21,20,1609
Houshou (Kantai Collection),228,206,165,21,20,1610
Shinonome Ena,221,206,165,21,20,1611
La Pluma,227,205,164,20,21,1612
Nibutani Shinka,223,205,164,20,21,1613
Eunectes,221,205,164,20,21,1614
Alter Ego (Ashiya Douman),312,204,163,20,21,1615
Saihara Shuuichi,280,204,163,20,21,1616
Inumaki Toge,273,204,163,20,21,1617
Kagamihara Nadeshiko,222,204,163,20,21,1618
Kurumizawa Satanichia McDowell,215,204,163,20,21,1619
Oikawa Tooru,267,203,162,20,21,1620
Russia (Female),261,203,162,20,21,1621
Yagen Toushirou,260,203,162,20,21,1622
Jill Valentine,250,203,162,20,21,1623
Amuro Tooru,250,203,162,20,21,1624
Tohno Akiha,249,203,162,20,21,1625
Alter Ego (Tamamo Vitch),226,203,162,20,21,1626
Asagami Fujino,225,203,162,20,21,1627
Cinderella (NIKKE),224,203,162,20,21,1628
Nerissa Ravencroft,223,203,162,20,21,1629
Mimura Kanako,221,203,162,20,21,1630
Kamui (Female) (Fire Emblem),217,203,162,20,21,1631
Ichinose Kotomi,216,203,162,20,21,1632
U-511 (Kantai Collection),216,203,162,20,21,1633
Yura (Kantai Collection),212,203,162,20,21,1634
Uzumaki Boruto,261,202,162,20,20,1635
Ryuugazaki Rei,250,202,162,20,20,1636
Neji Kokuto,241,202,162,20,20,1637
Tedeza Rise,219,202,162,20,20,1638
Cure Echo,218,202,162,20,20,1639
Symboli Rudolf,212,202,162,20,20,1640
Hiver Laurant,268,201,161,20,20,1641
Ushiromiya Maria,247,201,161,20,20,1642
Shidare Hotaru,229,201,161,20,20,1643
Caster (Xuanzang),214,201,161,20,20,1644
Z1 Leberecht Maass,207,201,161,20,20,1645
Nutty,276,200,160,20,20,1646
United Kingdom (Female),256,200,160,20,20,1647
Kaine (NieR),253,200,160,20,20,1648
Arataki Itto,252,200,160,20,20,1649
Chiori,242,200,160,20,20,1650
Cure Honey,240,200,160,20,20,1651
OMGkawaiiAngel-chan,238,200,160,20,20,1652
Dande (Pokﾃｩmon),273,199,159,20,20,1653
Kasumi (Pokﾃｩmon),239,199,159,20,20,1654
Ayase Momo,234,199,159,20,20,1655
Aragaki Ayase,233,199,159,20,20,1656
Eugeo (Sword Art Online),229,199,159,20,20,1657
Yaoyao,226,199,159,20,20,1658
Herrscher of the Void,224,199,159,20,20,1659
Sakuranomiya Maika,217,199,159,20,20,1660
Kohinata Miho,211,199,159,20,20,1661
Nagumo Haruya,277,198,158,20,20,1662
Leona Kingscholar,244,198,158,20,20,1663
Lancer (Fate/Prototype: Sougin no Fragments),229,198,158,20,20,1664
Xianyun,223,198,158,20,20,1665
Nymph,221,198,158,20,20,1666
Carro Pino,210,198,158,20,20,1667
Ooi (Kantai Collection),209,198,158,20,20,1668
Grell Sutcliff,292,197,158,20,19,1669
Waver Velvet,266,197,158,20,19,1670
Himura Kenshin,251,197,158,20,19,1671
Betilla,248,197,158,20,19,1672
Cure Parfait,229,197,158,20,19,1673
Space Ishtar,229,197,158,20,19,1674
Midare Toushirou,228,197,158,20,19,1675
Momo Velia Deviluke,222,197,158,20,19,1676
Diona Kﾃ､tzlein,220,197,158,20,19,1677
Shiroyasha,302,196,157,20,19,1678
Amane Misa,253,196,157,20,19,1679
Aohitsugi Samatoki,244,196,157,20,19,1680
Kikyo (InuYasha),237,196,157,20,19,1681
Murata Himeko,229,196,157,20,19,1682
AN-94 (Girls Frontline),227,196,157,20,19,1683
Maizono Sayaka,218,196,157,20,19,1684
Chili (Pokﾃｩmon),213,196,157,20,19,1685
Kasugano Sakura,212,196,157,20,19,1686
Saber (Astolfo),203,196,157,20,19,1687
Erwin Smith,307,195,156,20,19,1688
Caster (Fate/stay night),241,195,156,20,19,1689
Syndra,239,195,156,20,19,1690
Shiromi Iori,207,195,156,20,19,1691
Zooey,205,195,156,20,19,1692
Lyn (Fire Emblem),204,195,156,20,19,1693
Tenten,260,194,155,19,20,1694
Yamada Ichirou (Hypnosis Mic),248,194,155,19,20,1695
Tachibana Kisa,243,194,155,19,20,1696
Vampy (Shingeki no Bahamut),210,194,155,19,20,1697
Modeus,208,194,155,19,20,1698
Amamiya Kokoro,207,194,155,19,20,1699
Akutagawa Ryuunosuke (Bungou Stray Dogs),294,193,154,19,20,1700
Mutou Yuugi,287,193,154,19,20,1701
Genos,282,193,154,19,20,1702
Hoshina Hikaru,230,193,154,19,20,1703
Minamino Kanade,225,193,154,19,20,1704
Vajra (Granblue Fantasy),221,193,154,19,20,1705
Z23,209,193,154,19,20,1706
Widowmaker,236,192,154,19,19,1707
Yamino Shu,228,192,154,19,19,1708
Kagura Suzu (VTuber),212,192,154,19,19,1709
Ulquiorra Schiffer,578,191,153,19,19,1710
Chrollo Lucilfer,288,191,153,19,19,1711
Emiya Shirou,241,191,153,19,19,1712
Aida Mana,238,191,153,19,19,1713
Kousaka Tamaki,226,191,153,19,19,1714
Tingyun,217,191,153,19,19,1715
Sayori (Doki Doki Literature Club!),216,191,153,19,19,1716
Tomimi,210,191,153,19,19,1717
Nagi,204,191,153,19,19,1718
Sazanami (Kantai Collection),202,191,153,19,19,1719
Curren Chan,201,191,153,19,19,1720
Hikari no Koyanskaya,200,191,153,19,19,1721
Red (Pokﾃｩmon),316,190,152,19,19,1722
Oze Maki,264,190,152,19,19,1723
Hanamiya Makoto,262,190,152,19,19,1724
Berserker (Oda Nobunaga),238,190,152,19,19,1725
Janna,236,190,152,19,19,1726
Hecatia Lapislazuli,221,190,152,19,19,1727
Milla Maxwell,206,190,152,19,19,1728
Shiori Novella,204,190,152,19,19,1729
Mayano Top Gun,199,190,152,19,19,1730
Kidou Yuuto,300,189,151,19,19,1731
Wadanohara,261,189,151,19,19,1732
Shuu (Inazuma Eleven),256,189,151,19,19,1733
Koide Natsuno,252,189,151,19,19,1734
Hatsune Mikuo,252,189,151,19,19,1735
Johan Andersen,231,189,151,19,19,1736
Shiraishi Kuranosuke,230,189,151,19,19,1737
Gwen (League of Legends),225,189,151,19,19,1738
Idia Shroud,222,189,151,19,19,1739
Kaveh,220,189,151,19,19,1740
Izumi Kyouka (Bungou Stray Dogs),207,189,151,19,19,1741
Rapi,198,189,151,19,19,1742
Cure Lemonade,233,188,150,19,19,1743
Collei,231,188,150,19,19,1744
Bridget (GUILTY GEAR),225,188,150,19,19,1745
Tendo Akane,220,188,150,19,19,1746
Mikazuki Yozora,215,188,150,19,19,1747
Lacus Clyne,214,188,150,19,19,1748
Sylphiette,211,188,150,19,19,1749
Kasumigaoka Utaha,210,188,150,19,19,1750
Kamikita Komari,207,188,150,19,19,1751
Lusamine,206,188,150,19,19,1752
Yozakura Kirara,197,188,150,19,19,1753
Colorado (Kantai Collection),196,188,150,19,19,1754
Rainbow Dash,259,187,150,19,18,1755
Northern Ocean Hime (Kantai Collection),234,187,150,19,18,1756
Seraphine,220,187,150,19,18,1757
Yukiko-tan (Coffee),219,187,150,19,18,1758
Kujikawa Rise,215,187,150,19,18,1759
Aoki Lapis,213,187,150,19,18,1760
Akise Aru,211,187,150,19,18,1761
Nakoruru,207,187,150,19,18,1762
Columbina,206,187,150,19,18,1763
Kai'Sa,206,187,150,19,18,1764
Korra,240,186,149,19,18,1765
Sakamaki Subaru,234,186,149,19,18,1766
Sukuna Shinmyoumaru,224,186,149,19,18,1767
Anchira (Granblue Fantasy),219,186,149,19,18,1768
Caster (Nursery Rhyme),214,186,149,19,18,1769
Iris (Enen no Shouboutai),205,186,149,19,18,1770
Altina Orion,204,186,149,19,18,1771
Ceobe,199,186,149,19,18,1772
Sir Crocodile,341,185,148,18,19,1773
Aizen Sousuke,272,185,148,18,19,1774
Minah,254,185,148,18,19,1775
Noctis Lucis Caelum,252,185,148,18,19,1776
Fuyajou no Caster,224,185,148,18,19,1777
Matsumae Ohana,210,185,148,18,19,1778
Agnes Tachyon,202,185,148,18,19,1779
Atlanta (Kantai Collection),199,185,148,18,19,1780
Cecilia (Shiro Seijo to Kuro Bokushi),198,185,148,18,19,1781
Nemugaki Fubuki,195,185,148,18,19,1782
Bruno Bucciarati,260,184,147,18,19,1783
Hange Zoﾃｫ,259,184,147,18,19,1784
Delic,249,184,147,18,19,1785
Kiss-shot Acerola-orion Heart-under-blade,228,184,147,18,19,1786
Shibuki Ran,210,184,147,18,19,1787
Musashi (Azur Lane),209,184,147,18,19,1788
